text,label,temp_list
beberapa isu basi terkait dan fakta sebenarnya bisa dilihat di beberapa diantaranya anies akan mengganti pancasila dengan sistem khilafah terkait toleransi berbagai penganut agamaanies blunder soal data rumah ibadah di jakarta anies mengkhianati prabowo untuk jadi capres saat kebenaran dan fakta atas suatu hal telah jelas tapi tetap disangkalentah karena niat jahat nafsu atau kepentingan pribadibenar bahwa seringkali yang buta itu bukan mata tapi hati yang buta,Ideologi,"['beberapa', 'isu', 'basi', 'terkait', 'dan', 'fakta', 'sebenarnya', 'bisa', 'dilihat', 'di', 'beberapa', 'diantaranya', 'anies', 'akan', 'mengganti', 'pancasila', 'dengan', 'sistem', 'khilafah', 'terkait', 'toleransi', 'berbagai', 'penganut', 'agamaanies', 'blunder', 'soal', 'data', 'rumah', 'ibadah', 'di', 'jakarta', 'anies', 'mengkhianati', 'prabowo', 'untuk', 'jadi', 'capres', 'saat', 'kebenaran', 'dan', 'fakta', 'atas', 'suatu', 'hal', 'telah', 'jelas', 'tapi', 'tetap', 'disangkalentah', 'karena', 'niat', 'jahat', 'nafsu', 'atau', 'kepentingan', 'pribadibenar', 'bahwa', 'seringkali', 'yang', 'buta', 'itu', 'bukan', 'mata', 'tapi', 'hati', 'yang', 'buta']"
ganjar pranowomahfud md menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut dan udaraganjar mahfud m3nang ganjarmahfudrebound ganjarpranowopilihanumat jnk temanalamganjar atikohibunegara apri0801,Pertahanan dan Keamanan,"['ganjar', 'pranowomahfud', 'md', 'menekankan', 'pentingnya', 'persiapan', 'dalam', 'kebutuhan', 'dasar', 'alutsista', 'dari', 'tiga', 'matra', 'yaitu', 'darat', 'laut', 'dan', 'udaraganjar', 'mahfud', 'm3nang', 'ganjarmahfudrebound', 'ganjarpranowopilihanumat', 'jnk', 'temanalamganjar', 'atikohibunegara', 'apri0801']"
calon presiden capres nomor urut 1 anies baswedan sudah siap dengan kemampuannya menghadapi debat ketiga debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional dan geopolitik download metrotvxtend di app store play store aniesbaswedan pemilu2024 debatcapres,Pertahanan dan Keamanan,"['calon', 'presiden', 'capres', 'nomor', 'urut', '1', 'anies', 'baswedan', 'sudah', 'siap', 'dengan', 'kemampuannya', 'menghadapi', 'debat', 'ketiga', 'debat', 'ketiga', 'akan', 'menyangkut', 'tema', 'soal', 'pertahanan', 'keamanan', 'hubungan', 'internasional', 'dan', 'geopolitik', 'download', 'metrotvxtend', 'di', 'app', 'store', 'play', 'store', 'aniesbaswedan', 'pemilu2024', 'debatcapres']"
capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,"['capres', 'ganjar', 'pranowo', 'punya', 'rencana', 'besar', 'dia', 'bakal', 'bersinergi', 'sama', 'perguruan', 'tinggi', 'buat', 'program', 'yang', 'membawa', 'perubahan', 'positif', 'ganjarmahfudrebound', 'ganjarpranowopilihanumat', 'jnk']"
dengan pendapatan apbd jumbo paling besar seindonesia mencapai rp 77,Ekonomi,"['dengan', 'pendapatan', 'apbd', 'jumbo', 'paling', 'besar', 'seindonesia', 'mencapai', 'rp', '77']"
kenyataan yg timbul menghancurkan pribadi yg isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih munculfenomenapakbowo dukungantulus untuk02 k5cwvm0ta1xpchveyhoebrkxuugg2,Politik,"['kenyataan', 'yg', 'timbul', 'menghancurkan', 'pribadi', 'yg', 'isinya', 'penuh', 'kebencian', 'ke', 'ayahbowo', 'adalahkita', 'menimbulkan', 'dampak', 'emosional', 'di', 'pemilih', 'munculfenomenapakbowo', 'dukungantulus', 'untuk02', 'k5cwvm0ta1xpchveyhoebrkxuugg2']"
mas ganjar bawa data dan ngasih pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data yang benar gak ada urusan sama waktu yang singkat,Politik,"['mas', 'ganjar', 'bawa', 'data', 'dan', 'ngasih', 'pertanyaan', 'berdasar', 'data', 'bisa', 'saja', 'dijawab', 'oleh', 'pak', 'prabowo', 'tanpa', 'bilang', 'data', 'dari', 'mas', 'ganjar', 'salah', 'tapi', 'karena', 'pak', 'prabowo', 'bilang', 'datanya', 'salah', 'wajar', 'jika', 'mas', 'ganjar', 'minta', 'ditunjukkan', 'mana', 'data', 'yang', 'benar', 'gak', 'ada', 'urusan', 'sama', 'waktu', 'yang', 'singkat']"
trending on twitter x anies bubble meroket fenomena fans kpop join amin isme,Sosial Budaya,"['trending', 'on', 'twitter', 'x', 'anies', 'bubble', 'meroket', 'fenomena', 'fans', 'kpop', 'join', 'amin', 'isme']"
wait wait pak ada bukti pak anies gunakan politik identitas bukankah justru ahok yang terang terangan bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir berpikir adil itu memang sulit pak,Politik,"['wait', 'wait', 'pak', 'ada', 'bukti', 'pak', 'anies', 'gunakan', 'politik', 'identitas', 'bukankah', 'justru', 'ahok', 'yang', 'terang', 'terangan', 'bahkan', 'sebelum', 'pilkada', 'saja', 'sudah', 'memantik', 'perselisihan', 'misal', 'gunakan', 'password', 'wifi', 'dengan', 'kata', 'kafir', 'berpikir', 'adil', 'itu', 'memang', 'sulit', 'pak']"
siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjarmahfud di hari tuna rungu nasional 2024 atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia di bagian depan tak hanya diberikan kejutan atikoh juga diajarkan bahasa isyarat pdiperjuangan hutpdiperjuanganke51 kebenaranpastimenang satyamevajayate ganjarmahfud2024 menangkanganjar nomor3pilihanku,Politik,"['siti', 'atikoh', 'mengunjungi', 'kantor', 'tpd', 'ganjarmahfud', 'sumatera', 'selatan', 'atikoh', 'mendapat', 'kejutan', 'dari', 'penyandang', 'tuna', 'rungu', 'simpatisan', 'ganjarmahfud', 'di', 'hari', 'tuna', 'rungu', 'nasional', '2024', 'atikoh', 'diberikan', 'kejutan', 'berupa', 'kaos', 'warna', 'merah', 'bertuliskan', 'ibu', 'negara', 'indonesia', 'di', 'bagian', 'depan', 'tak', 'hanya', 'diberikan', 'kejutan', 'atikoh', 'juga', 'diajarkan', 'bahasa', 'isyarat', 'pdiperjuangan', 'hutpdiperjuanganke51', 'kebenaranpastimenang', 'satyamevajayate', 'ganjarmahfud2024', 'menangkanganjar', 'nomor3pilihanku']"
abah anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup aminajadulu,Sosial Budaya,"['abah', 'anies', 'ingin', 'mengangkat', 'martabat', 'petani', 'agar', 'tidak', 'terus', 'menerus', 'menerima', 'bansos', 'karena', 'penghasilannya', 'cukup', 'aminajadulu']"
calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihakganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,"['calon', 'presiden', 'ri', 'ganjar', 'pranowo', 'yakin', 'bersama', 'mahfud', 'md', 'regulasi', 'hukum', 'investasi', 'bakal', 'lebih', 'mudah', 'dipahami', 'oleh', 'semua', 'pihakganjarmahfudrebound', 'ganjarpranowopilihanumat', 'jnk']"
pak michael gaya bicara keras dan terkesan emosional tapi tetap berisi tidak usah jangan berarti prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya anies pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik,"['pak', 'michael', 'gaya', 'bicara', 'keras', 'dan', 'terkesan', 'emosional', 'tapi', 'tetap', 'berisi', 'tidak', 'usah', 'jangan', 'berarti', 'prabowo', 'itu', 'sudah', 'menggunakan', 'kekerasan', 'militer', 'untuk', 'orang', 'yang', 'sifatnya', 'anies', 'pak', 'lurah', 'bu', 'hesti', 'anies', 'deserve', 'better', 'asnawi', 'videotron', 'pegang', 'miftah', 'papua', 'amien', 'rais']"
paslon 03 ganjar pranowo yakin bersama mahfud md regulasi hukum investor di indonesia bakal lebih bersahabat dan terukurganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,"['paslon', '03', 'ganjar', 'pranowo', 'yakin', 'bersama', 'mahfud', 'md', 'regulasi', 'hukum', 'investor', 'di', 'indonesia', 'bakal', 'lebih', 'bersahabat', 'dan', 'terukurganjarmahfudrebound', 'ganjarpranowopilihanumat', 'jnk']"
anies sosok ayah yang penuh kehangatan pak mmg sosok ayah yg penuh kehangatan lihat dlm tayangan video ini tangannya lentur banget menggendong anak kecil tampak luwes ngga kaku dan ngga buatbuat pasti anakanaknya jg sering merasakan gendongan pelukan dan pelukan beliau kekuatan sejati adalah ketenangan di pelukan ayah aniesbubble aniesmuhaimin2024,Pertahanan dan Keamanan,"['anies', 'sosok', 'ayah', 'yang', 'penuh', 'kehangatan', 'pak', 'mmg', 'sosok', 'ayah', 'yg', 'penuh', 'kehangatan', 'lihat', 'dlm', 'tayangan', 'video', 'ini', 'tangannya', 'lentur', 'banget', 'menggendong', 'anak', 'kecil', 'tampak', 'luwes', 'ngga', 'kaku', 'dan', 'ngga', 'buatbuat', 'pasti', 'anakanaknya', 'jg', 'sering', 'merasakan', 'gendongan', 'pelukan', 'dan', 'pelukan', 'beliau', 'kekuatan', 'sejati', 'adalah', 'ketenangan', 'di', 'pelukan', 'ayah', 'aniesbubble', 'aniesmuhaimin2024']"
capres ganjar pranowo nggak mainmain nih kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,"['capres', 'ganjar', 'pranowo', 'nggak', 'mainmain', 'nih', 'kolaborasi', 'dengan', 'perguruan', 'tinggi', 'buat', 'program', 'edukatif', 'yang', 'oke', 'punya', 'ganjarmahfudrebound', 'ganjarpranowopilihanumat', 'jnk']"
projo kawal prabowo gibran menang sekali putaran projo jokowi setiadigarisrakyat,Politik,"['projo', 'kawal', 'prabowo', 'gibran', 'menang', 'sekali', 'putaran', 'projo', 'jokowi', 'setiadigarisrakyat']"
tempodotco semangat pak kami akan selalu m3nddukung mu ganjar mahfud hebat coblos3 3gm ganjarmahfudm3nangdebat debatcapres,Politik,"['tempodotco', 'semangat', 'pak', 'kami', 'akan', 'selalu', 'm3nddukung', 'mu', 'ganjar', 'mahfud', 'hebat', 'coblos3', '3gm', 'ganjarmahfudm3nangdebat', 'debatcapres']"
anies sesuai selera masyarakat sumatera barat,Sosial Budaya,"['anies', 'sesuai', 'selera', 'masyarakat', 'sumatera', 'barat']"
abah anies baswedan amp ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini,Politik,"['abah', 'anies', 'baswedan', 'amp', 'ibu', 'fery', 'farhati', 'tiba', 'di', 'pekanbaru', 'kampanye', 'akbar', 'kedua', 'hari', 'ini']"
atikoh beberkan solusi ganjarmahfud atasi harga pangan naik,Politik,"['atikoh', 'beberkan', 'solusi', 'ganjarmahfud', 'atasi', 'harga', 'pangan', 'naik']"
giliran buruh soloraya deklarasi dukung prabowogibran soloraya indonesiakuatindonesiamaju diplomasiprogresif02 02melanjutkan,Politik,"['giliran', 'buruh', 'soloraya', 'deklarasi', 'dukung', 'prabowogibran', 'soloraya', 'indonesiakuatindonesiamaju', 'diplomasiprogresif02', '02melanjutkan']"
capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negarajnk ganjarmahfudrebound ganjarpranowopilihanumat,Ideologi,"['capres', 'cawapres', 'ganjar', 'pranowo', 'dan', 'mahfud', 'md', 'mengajak', 'semua', 'pihak', 'untuk', 'bersatu', 'menjaga', 'konstitusi', 'atau', 'aturan', 'dasar', 'negarajnk', 'ganjarmahfudrebound', 'ganjarpranowopilihanumat']"
raja dangdut pak haji rhoma irama bertanya tentang seni dan film jika pak anies terpilih jadi presiden desak anies amp slepet imin di jiexpo kemayoran jakarta pusat hari ini senin 29 januari 2024,Politik,"['raja', 'dangdut', 'pak', 'haji', 'rhoma', 'irama', 'bertanya', 'tentang', 'seni', 'dan', 'film', 'jika', 'pak', 'anies', 'terpilih', 'jadi', 'presiden', 'desak', 'anies', 'amp', 'slepet', 'imin', 'di', 'jiexpo', 'kemayoran', 'jakarta', 'pusat', 'hari', 'ini', 'senin', '29', 'januari', '2024']"
capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet uu itejnk ganjarmahfudrebound ganjarpranowopilihanumat,Politik,"['capres', 'ganjar', 'pranowo', 'akan', 'memberikan', 'ruang', 'bagi', 'masyarakat', 'untuk', 'memberikan', 'masukan', 'dan', 'saran', 'dalam', 'evaluasi', 'pasal', 'karet', 'uu', 'itejnk', 'ganjarmahfudrebound', 'ganjarpranowopilihanumat']"
ini musuh utama gen z anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta amp pemerintahan dg penegakan aturan aminajadulu,Politik,"['ini', 'musuh', 'utama', 'gen', 'z', 'anies', 'bertekad', 'basmi', 'praktik', 'ordal', 'dalam', 'penerimaan', 'tenaga', 'kerja', 'di', 'sektor', 'swasta', 'amp', 'pemerintahan', 'dg', 'penegakan', 'aturan', 'aminajadulu']"
debat caprescawapres ke3 anies menyatakan nilai kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100 jadi menteri saja tidak layak menurut paslon 01,Politik,"['debat', 'caprescawapres', 'ke3', 'anies', 'menyatakan', 'nilai', 'kemenhan', 'dalam', 'melaksanakan', 'kebijakan', 'nilainya', '11', 'dari', '100', 'jadi', 'menteri', 'saja', 'tidak', 'layak', 'menurut', 'paslon', '01']"
pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 untuk koprasi dan umkm jadi andalan bisnis lokal sukses terus temantemanjn18a jnk ganjarmahfudrebound ganjarpranowopilihanumat,Ekonomi,"['pasangan', 'duet', 'capres', 'cawapres', 'ganjar', 'pranowo', 'mahfud', 'md', 'motor', 'perubahan', 'kredit', '35', 'untuk', 'koprasi', 'dan', 'umkm', 'jadi', 'andalan', 'bisnis', 'lokal', 'sukses', 'terus', 'temantemanjn18a', 'jnk', 'ganjarmahfudrebound', 'ganjarpranowopilihanumat']"
anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide amp gagasantunjukan karyakarya pak anies untuk perubahan indonesia lebih baik lagi,Ideologi,"['anak', 'muda', 'indonesia', 'the', 'future', 'of', 'this', 'nation', 'is', 'in', 'your', 'hand', 'its', 'the', 'time', 'for', 'change', 'anies', 'for', 'presidentsampaikan', 'yg', 'harus', 'disampaikan', 'kepada', 'teman', 'lainnya', 'karena', 'sudah', 'saatnya', 'adu', 'ide', 'amp', 'gagasantunjukan', 'karyakarya', 'pak', 'anies', 'untuk', 'perubahan', 'indonesia', 'lebih', 'baik', 'lagi']"
pak aniess post has reached 26000 likes and 1350573 on dialog capres w kadin tvonenews youtube in 1 days 15 hour 27 minutes it is the fastest and highest post to reach 26k likes and 13m likes among capress members anies aniesatkadin,Sosial Budaya,"['pak', 'aniess', 'post', 'has', 'reached', '26000', 'likes', 'and', '1350573', 'on', 'dialog', 'capres', 'w', 'kadin', 'tvonenews', 'youtube', 'in', '1', 'days', '15', 'hour', '27', 'minutes', 'it', 'is', 'the', 'fastest', 'and', 'highest', 'post', 'to', 'reach', '26k', 'likes', 'and', '13m', 'likes', 'among', 'capress', 'members', 'anies', 'aniesatkadin']"
according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,Pertahanan dan Keamanan,"['according', 'to', 'prabowo', 'gaza', 'is', 'opressed', 'because', 'they', 'dont', 'have', 'a', 'sufficient', 'military', 'power', 'this', 'is', 'such', 'a', 'tonedeaf', 'statement', 'coming', 'from', 'a', 'minister', 'of', 'defense']"
ini kejam warga disitu sudah bersedia dibangun jis dgn janji anies utk memabngun rumah susun bagi mereka stlh rumah itu terbangun mrk ga diberikan haknya padahal anies selaku gubernur sll menepati janjinya kampung akuarium kampung kunir dll apa yg salah rakyat mendapat rmh,Sosial Budaya,"['ini', 'kejam', 'warga', 'disitu', 'sudah', 'bersedia', 'dibangun', 'jis', 'dgn', 'janji', 'anies', 'utk', 'memabngun', 'rumah', 'susun', 'bagi', 'mereka', 'stlh', 'rumah', 'itu', 'terbangun', 'mrk', 'ga', 'diberikan', 'haknya', 'padahal', 'anies', 'selaku', 'gubernur', 'sll', 'menepati', 'janjinya', 'kampung', 'akuarium', 'kampung', 'kunir', 'dll', 'apa', 'yg', 'salah', 'rakyat', 'mendapat', 'rmh']"
prabowogibran akan terapkan 17 program ini untuk melancarkan ekonomi biru internasional kontan menangseputaran,Ekonomi,"['prabowogibran', 'akan', 'terapkan', '17', 'program', 'ini', 'untuk', 'melancarkan', 'ekonomi', 'biru', 'internasional', 'kontan', 'menangseputaran']"
viral anies baswedan dapat ancaman penembakan tim hukum amin siap tempuh jalur hukum,Pertahanan dan Keamanan,"['viral', 'anies', 'baswedan', 'dapat', 'ancaman', 'penembakan', 'tim', 'hukum', 'amin', 'siap', 'tempuh', 'jalur', 'hukum']"
kasihan pendukung prabowo udah dibela belain masuk penjara gak diakui,Politik,"['kasihan', 'pendukung', 'prabowo', 'udah', 'dibela', 'belain', 'masuk', 'penjara', 'gak', 'diakui']"
tempodotco ayo ganjar tuntaskan permasalahan yang ada di indonesia pasti bisa pasti m3nang semuakerja ganjar mahfud hebat coblos3 3gm dulujokowisekarangganjar ayahbowo adalahkita,Politik,"['tempodotco', 'ayo', 'ganjar', 'tuntaskan', 'permasalahan', 'yang', 'ada', 'di', 'indonesia', 'pasti', 'bisa', 'pasti', 'm3nang', 'semuakerja', 'ganjar', 'mahfud', 'hebat', 'coblos3', '3gm', 'dulujokowisekarangganjar', 'ayahbowo', 'adalahkita']"
wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo gibran wirantogaspoldukung02,Politik,"['wiranto', 'langsung', 'bergerak', 'cepat', 'untuk', 'memberikan', 'dukungan', 'kepada', 'prabowo', 'gibran', 'wirantogaspoldukung02']"
gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionist kek theres so many possibilities kalo beliau kepilih bakal regress demokrasi kita bakal lebih otoriter bahkan banyak menteri progresif yg pasti akan didepak,Politik,"['gua', 'beneran', 'sedih', 'banget', 'kenapa', 'ya', 'orang', 'tuh', 'susah', 'menerima', 'fakta', 'kalo', 'prabowo', 'itu', 'war', 'criminal', 'dan', 'zionist', 'kek', 'theres', 'so', 'many', 'possibilities', 'kalo', 'beliau', 'kepilih', 'bakal', 'regress', 'demokrasi', 'kita', 'bakal', 'lebih', 'otoriter', 'bahkan', 'banyak', 'menteri', 'progresif', 'yg', 'pasti', 'akan', 'didepak']"
lautan manusia sambut capres nomor urut 1 anies baswedan saat laksanakan giat kampanye ke bone sulawesi selatan sulsel rabu 1712024 anies bertemu dengan masyarakat bone di lapangan sepak bola cina kampanye kali ini cukup spesial lantaran ditemani oleh eks wakil presiden jusuf kalla jk melihat lautan manusia yang antusias menyapa anies ini pun membuat dia merasa takjub dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini simak berita selengkapnya di hardnews_politik newsone cariberitaditvone no01 aniesbaswedan kampanye viralbone pilpres2024 politik kamikabarkanandaputuskan maumemilih tvonetvpemilu,Politik,"['lautan', 'manusia', 'sambut', 'capres', 'nomor', 'urut', '1', 'anies', 'baswedan', 'saat', 'laksanakan', 'giat', 'kampanye', 'ke', 'bone', 'sulawesi', 'selatan', 'sulsel', 'rabu', '1712024', 'anies', 'bertemu', 'dengan', 'masyarakat', 'bone', 'di', 'lapangan', 'sepak', 'bola', 'cina', 'kampanye', 'kali', 'ini', 'cukup', 'spesial', 'lantaran', 'ditemani', 'oleh', 'eks', 'wakil', 'presiden', 'jusuf', 'kalla', 'jk', 'melihat', 'lautan', 'manusia', 'yang', 'antusias', 'menyapa', 'anies', 'ini', 'pun', 'membuat', 'dia', 'merasa', 'takjub', 'dan', 'menegaskan', 'bahwa', 'uang', 'tidak', 'dapat', 'mengobarkan', 'semangat', 'seperti', 'ini', 'simak', 'berita', 'selengkapnya', 'di', 'hardnews_politik', 'newsone', 'cariberitaditvone', 'no01', 'aniesbaswedan', 'kampanye', 'viralbone', 'pilpres2024', 'politik', 'kamikabarkanandaputuskan', 'maumemilih', 'tvonetvpemilu']"
baru kali ini ada capres yg mau peluk orang papua mencium tangan anakanak papua biar rakyat yang menilai gak ngaruh tetap all in prabowo istirahat anies deserve better abahanies cakimin,Politik,"['baru', 'kali', 'ini', 'ada', 'capres', 'yg', 'mau', 'peluk', 'orang', 'papua', 'mencium', 'tangan', 'anakanak', 'papua', 'biar', 'rakyat', 'yang', 'menilai', 'gak', 'ngaruh', 'tetap', 'all', 'in', 'prabowo', 'istirahat', 'anies', 'deserve', 'better', 'abahanies', 'cakimin']"
yang sudah yakin vote aniesmuhaimin pada 14 februari 2024 silahkan retweet nakesdesakanies,Politik,"['yang', 'sudah', 'yakin', 'vote', 'aniesmuhaimin', 'pada', '14', 'februari', '2024', 'silahkan', 'retweet', 'nakesdesakanies']"
data yang manaaaaa data lahan pak prabowo itu bagian dari rahasia pertahanan index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan astagaaaa,Pertahanan dan Keamanan,"['data', 'yang', 'manaaaaa', 'data', 'lahan', 'pak', 'prabowo', 'itu', 'bagian', 'dari', 'rahasia', 'pertahanan', 'index', 'dan', 'peringkat', 'yang', 'dibaca', 'pak', 'ganjar', 'juga', 'itu', 'rahasia', 'pertahanan', 'astagaaaa']"
video ini direkam 5 april 2014 dlm acara mengadili anies apakah jd presiden adalah cita cita anies value pikiran yg dibawa dlm gagasan pak anies memang pemikiran seorang negarawan dari dulu jarang kita dengar pemikiran2 macam beliau dinegeri ini guys aminajadulu,Politik,"['video', 'ini', 'direkam', '5', 'april', '2014', 'dlm', 'acara', 'mengadili', 'anies', 'apakah', 'jd', 'presiden', 'adalah', 'cita', 'cita', 'anies', 'value', 'pikiran', 'yg', 'dibawa', 'dlm', 'gagasan', 'pak', 'anies', 'memang', 'pemikiran', 'seorang', 'negarawan', 'dari', 'dulu', 'jarang', 'kita', 'dengar', 'pemikiran2', 'macam', 'beliau', 'dinegeri', 'ini', 'guys', 'aminajadulu']"
