text,label,check_lupa_spasi
mas ganjar bawa data dan ngasih pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data yang benar tidak ada urusan sama waktu yang singkat,Politik,False
trending on twitter x anies bubble meroket fenomena fans kpop join amin isme,Sosial Budaya,False
wait wait pak ada bukti pak anies gunakan politik identitas bukankah justru ahok yang terang terangan bahkan sebelum pilkada saja sudah memantik perselisihan misal gunakan password wifi dengan kata kafir berpikir adil itu memang sulit pak,Politik,False
siti atikoh mengunjungi kantor tpd ganjarmahfud sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan ganjarmahfud di hari tuna rungu nasional 2024 atikoh diberikan kejutan berupa kaos warna merah bertuliskan ibu negara indonesia di bagian depan tak hanya diberikan kejutan atikoh juga diajarkan bahasa isyarat,Politik,False
bapak anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup,Sosial Budaya,False
calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak,Politik,False
pak michael gaya bicara keras dan terkesan emosional tapi tetap berisi tidak usah jangan berarti prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik,False
paslon 03 ganjar pranowo yakin bersama mahfud md regulasi hukum investor di indonesia bakal lebih bersahabat dan terukur,Politik,False
anies sosok ayah yang penuh kehangatan pak mmg sosok ayah yg penuh kehangatan lihat dlm tayangan video ini tangannya lentur banget menggendong anak kecil tampak luwes tidak kaku dan tidak buatbuat pasti anakanaknya juga sering merasakan gendongan pelukan dan pelukan beliau kekuatan sejati adalah ketenangan di pelukan ayah,Pertahanan dan Keamanan,False
capres ganjar pranowo tidak mainmain nih kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya,Politik,False
projo kawal prabowo gibran menang sekali putaran,Politik,False
tempodotco semangat pak kami akan selalu m3nddukung mu ganjar mahfud hebat,Politik,False
anies sesuai selera masyarakat sumatera barat,Sosial Budaya,False
bapak anies baswedan amp ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini,Politik,False
atikoh beberkan solusi ganjarmahfud atasi harga pangan naik,Politik,False
giliran buruh soloraya deklarasi dukung prabowo gibran soloraya,Politik,False
capres cawapres ganjar pranowo dan mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara,Ideologi,False
raja dangdut pak haji rhoma irama bertanya tentang seni dan film jika pak anies terpilih jadi presiden desak anies amp slepet imin di jiexpo kemayoran jakarta pusat hari ini senin 29 januari 2024,Politik,False
capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet uu ite,Politik,False
ini musuh utama gen z anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta amp pemerintahan dg penegakan aturan,Politik,False
debat caprescawapres ke3 anies menyatakan nilai kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100 jadi menteri saja tidak layak menurut paslon 01,Politik,False
pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 untuk koprasi dan umkm jadi andalan bisnis lokal sukses terus temantemanjn18a,Ekonomi,False
anak muda indonesia the future of this nation is in your hand its the time for change anies for presidentsampaikan yg harus disampaikan kepada teman lainnya karena sudah saatnya adu ide amp gagasantunjukan karyakarya pak anies untuk perubahan indonesia lebih baik lagi,Ideologi,False
pak aniess post has reached 26000 likes and 1350573 on dialog capres saya kadin tvonenews youtube in 1 days 15 hour 27 minutes it is the fastest and highest post to reach 26k likes and 13m likes among capress members,Sosial Budaya,False
according to prabowo gaza is opressed because they dont have a sufficient military power this is such a tonedeaf statement coming from a minister of defense,Pertahanan dan Keamanan,False
ini kejam warga disitu sudah bersedia dibangun jis dgn janji anies utk memabngun rumah susun bagi mereka stlh rumah itu terbangun mrk tidak diberikan haknya padahal anies selaku gubernur sll menepati janjinya kampung akuarium kampung kunir dll apa yg salah rakyat mendapat rumah,Sosial Budaya,False
prabowo gibran akan terapkan 17 program ini untuk melancarkan ekonomi biru internasional kontan,Ekonomi,False
viral anies baswedan dapat ancaman penembakan tim hukum amin siap tempuh jalur hukum,Pertahanan dan Keamanan,False
kasihan pendukung prabowo sudah dibela belain masuk penjara tidak diakui,Politik,False
tempodotco ayo ganjar tuntaskan permasalahan yang ada di indonesia pasti bisa pasti m3nang semuakerja ganjar mahfud hebat ayahbowo adalahkita,Politik,False
wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo gibran,Politik,False
gua beneran sedih banget kenapa ya orang tuh susah menerima fakta kalo prabowo itu war criminal dan zionist kek theres so many possibilities kalo beliau kepilih bakal regress demokrasi kita bakal lebih otoriter bahkan banyak menteri progresif yg pasti akan didepak,Politik,False
lautan manusia sambut capres nomor urut 1 anies baswedan saat laksanakan giat kampanye ke bone sulawesi selatan sulsel rabu 1712024 anies bertemu dengan masyarakat bone di lapangan sepak bola cina kampanye kali ini cukup spesial lantaran ditemani oleh eks wakil presiden jusuf kalla jk melihat lautan manusia yang antusias menyapa anies ini pun membuat dia merasa takjub dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini simak berita selengkapnya di,Politik,False
baru kali ini ada capres yg mau peluk orang papua mencium tangan anakanak papua biar rakyat yang menilai tidak ngaruh tetap all in prabowo istirahat anies deserve better,Politik,False
yang sudah yakin vote aniesmuhaimin pada 14 februari 2024 silahkan retweet,Politik,False
data yang manaaaaa data lahan pak prabowo itu bagian dari rahasia pertahanan index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan astagaaaa,Pertahanan dan Keamanan,False
video ini direkam 5 april 2014 dlm acara mengadili anies apakah jadi presiden adalah cita cita anies value pikiran yg dibawa dlm gagasan pak anies memang pemikiran seorang negarawan dari dulu jarang kita dengar pemikiran2 macam beliau dinegeri ini guys,Politik,False
pak ganjar dan prof mahfud memperoleh dukungan luas karena keberanian mereka dalam menghadapi dinamika g3opolitik yang tidak terduga,Politik,False
jk ungkap sebab tanah bob hasan bisa dimiliki prabowo,Politik,False
sekarang bawaslu malah terkesan yg membenarkan kegiatan paslon 2 kunjungan prabowo ke cilincing yg diwarnai bagi2 uang 100rb dianggap kunjungan sebagai menhan oleh bawaslu terserah klean lah,Politik,False
pak prabowo adalah tipe seseorang yang lebih suka menunjukkan bukti kinerjanya daripada sekedar omong kosong belaka,Politik,False
jawaban pak anies di luar prediksiulama dari madura jawa timur sampai terkagum kagum dengan pak anies bahkan ulama madura yg bernama bapak kyai fattah mengaku kalah setelah menyimak jawaban dari pak anies di acara cifp 2023 yg lalu,Politik,False
nelayan butuh tindakan nyata ganjar pranowo mahfud md bersama kita hadirkan solusi terbaik,Politik,False
sewaktu anies bersikap kritis ke kinerja pak prabowo dianggap engga sopan karena dianggap kurang menghormati orang tua giliran skrg gibran yg tengil dan sok kritis malah dianggap kritis dan keras apakah ini tidak standar ganda,Politik,False
ganjar pranowo dengan tindakan positifnya menunjukkan keberaniannya dalam menjaga keamanan nasional dengan mendukung cyber force,Pertahanan dan Keamanan,False
batam hari ini pecah suasana pasar tos 3000 batam saat pak anies baswedan berkunjung para warga sekitar menyambut dan meneriakkan anies presiden,Politik,False
bukan cuma dalam debat semalam pak tidak mau buka2an imformasi pertahanan tapi di rdp dgn komisi i dpr pun beliau menolak rapat terbuka dan bertahan spy rapat tertutup apalagi ngadepin 2 capres sok tahu tidak mungkin dibuka,Pertahanan dan Keamanan,False
anies itu prestasinya di jakarta banyak sekali dan gemilang walaupun tidak didukung pemerintah pusat dan cenderung dihambat tapi kenapa ada framing jahat anies tidak bisa kerja,Politik,False
konsisten selama ini bersuara melawan radikalisme dan intoleransi yg pilih prabowo ternyata cuma omon omon dianggap tokoh paling toleran masyarakat lintas etnis kalbar kompak dukung ganjar pontianak ribuan masyarakat lintas etnis sekalimantan barat berkumpul di hotel golden tulip pontianak rabu 3112014 ada perwakilan dari tokoh dayak tionghoa papua jawa minang batak madura dan lainnya selamat datang di kota khatulistiwa pak ganjar kami sangat bangga bapak datang ke sini ucap beberapa tokoh adat dan etnis menyambut ganjar ketua dewan pembina dewan adat daerah dad kalbar yang juga ketua tim pemenangan daerah tpd ganjar mahfud di kalbar lazarus mengatakan masyarakat kalbar sangat antusias menyambut ganjar kehadiran para tokoh dan ketua organisasi etnis di tempat itu menjadi bukti bahwa mereka sepakat mendukung ganjar mahfud semua tokoh adat berkumpul di sini ini mewakili seluruh organisasi dari kelompok etnis dan adat di kalimantan barat kami semua mendukung pak ganjar kami siap memenangkan bapak di kalbar ucap lazarus disambut teriakan kompak ribuan masyarakat adat kalbar ganjar presiden ganjar mahfud menang menang menang teriak mereka kompak seorang tokoh adat dayak henusa mengatakan masyarakat lintas etnis kalbar kompak mendukung ganjar karena ia dianggap sebagai tokoh paling toleran selama menjadi anggota dpr ri dan gubernur jateng dua periode ganjar bisa melakukan harmonisasi untuk itulah kami mengidolakan dan mendukung pak ganjar menjadi presiden 2024 karena di tangan beliau kasuskasus intoleransi di indonesia bisa dihilangkan ucapnya sementara itu ganjar menyambut baik dukungan dari masyarakat lintas etnis kalbar dan mengucapkan terima kasih menurutnya apapun hasil pilpres mendatang toleransi di indonesia harus terus terjaga dan kalbar adalah contoh daerah paling toleran di mana di kalbar ada satu kota yang dinobatkan sebagai kota paling toleran seindonesia yakni singkawang ucapnya,Demografi,False
koneksi internet menjadi kebutuhan pokok bagi masyarakat indonesia dalam menjalankan aktivitas seharihari paslon 03 ganjarmahfud menegaskan komitmennya untuk menghadirkan internet yang kuat cepat dan murah bagi seluruh masyarakat indonesia,Ekonomi,False
jaua suparna baru tahu bahwa anies s1 nya fakultas ekonomi s2 nya kebijakkan keuangan s3 nya political ekonomi amp pembangunan,Ekonomi,False
isu palestina tidak penting bagi prabowo tidak ada keberpihakan amp kepedulian untuk menegakkan konstitusi makin kelihatan watak aslinya,Politik,False
acara belum mulai pendukung anies sudah ramaikan lokasi kampanye,Politik,False
namun yang terpenting adalah saat ini harus menjadi bangsa yang selalu bersyukur prabowo gibran,Politik,False
kita membutuhkan penjaga yakni tni al yang kuat untuk mengibarkan merah putih dan menegakkan kedaulatan negara kata menhan prabowo,Pertahanan dan Keamanan,False
kinerja pak prabowo bukan hanya fokus pada modernisasi alutsista tapi beliau juga dinilai telah mendorong perkembangan industri pertahanan dalam negeri loh,Pertahanan dan Keamanan,False
tidak mau yang cuma sebatas wacana mending yang sudah punya langkah nyata kayak pasangan ganjar pranowo dan mahfud md,Politik,False
uvsdec4fpmwdnpq1ojaod2ou,Sosial Budaya,False
duo bapak bangsa ganjar pranowo prof mahfud punya program yang bisa bikin indonesia lebih baik yuk pilih yang bawa solusi nyataganjarmahfud taat hukum,Politik,False
menkominfo budi arie bela prabowo sebut data pertahanan bersifat rahasia,Pertahanan dan Keamanan,False
anies jelas referensinya jkw dua kata dari capres 02 yang diajarkan kepada seluruh rakyat indonesia yaitu kata dan tolol dan janji mengembalikan tanah itu dari 2019 sekarang pun bilang hal yang sama,Politik,False
calon presiden ri no urut 3 ganjar pranowo tidak mainmain dalam menjaga konstitusi atau aturan dasar negara itulah kenapa kita bisa percaya padanya,Ideologi,False
selain itu gibran mengatakan sejumlah permasalahan lain seperti pupuk internet jalan berlubang prabowo gibran,Politik,False
menghadiri tantangan kpk untuk menyampaikan komitmennya dalam pemberantasan korupsi di indonesia 2024 majalengka majalengka beiqnh5xqr ganjar mahfud hebat,Politik,False
capres ganjar pranowo yakin konstitusi atau aturan dasar negara adalah dasar keadilan yang harus dipegang teguh,Ideologi,False
jadi anies baswedan itu proxy us didukung yaman fpi abu bakar baasyir freemason mau bangun khilafah yang disupport kader nu dan muhamadiyah enggak lupa dukungan komunitas pecinta perkutut yang berkolaborasi dengan sjw feminism masmas rohis celana cingkrang kpoper,Ideologi,False
pilih capres ganjar pranowo keren jangan pilih pemimpin yang sulit mengendalikan emosi karena hal itu dapat menciptakan ketidakpastian di kalangan masyarakat jn18a,Politik,False
anies berprestasi nasional maupun internasional lihat video prestasi prabowo korupsi food estate amp anggaran kemenhan prabowo singgung banyak orang pandai bicara tapi belum tentu bisa kerja sindir anies lagi,Politik,False
capres nomor urut 1 anies baswedan menjelaskan mengenai pergeseran menuju substitusi import ia mengatakan bahwa harus memastikan hal tersebut dapat terjaga anies baswedan juga mengatakan harus menyiapkan ekosistem industri agar tidak hanya menjadi pasar konsumsi tapi juga menjadi sentra produksi global sehingga diharapkan dalam muncul di dalam kegiatan ekspor perihal tingkat komponen dalam negeri anies mengatakan bahwa harus ditingkatkan secara bertahap simak video selengkapnya di nantikan juga live eksklusif dialog capres bersama kadin sesi iii prabowo subianto jumat 12 januari 2024 pkl 09301130 wib live hanya di tvone live streaming di youtube tvonenews,Ekonomi,False
momen capres nomor urut 3 ganjar pranowo besuk relawannya korban penganiayaan oleh oknum tni di boyolali tak hanya bertanya kondisi juga bertanya kronologi kejadian hingga relawan pendukungnya itu dipukuli ia pun meminta aparat keamanan termasuk institusi tni menangani kejadian ini,Pertahanan dan Keamanan,False
palestina di tindas karena tidak punya kekuatan militer palestina lemah sy ksh buku ini mau biar anda paham vatikan tidak punya kekuatan militer tapi ada yg berani tindas tidak analogi bukan kekuatan militer pak palestina tidak lemah dan tidak pernah lemah mereka dilemahkan oleh sistem kampret yang di mana pbb sampai skrg diam terjadi genosida pelanggaran ham berat yang berani nuntut mereka di den haag hanya afrika selatan,Pertahanan dan Keamanan,False
rstmbcl bersama santri kami riang gembira 2024 ganjar mahfud md ganjarmahfud2024 jauhi dusta amp emosional ganjar mahfud hebat sikat kkn,Politik,False
media asing the new york times tulis jika prabowo menang demokrasi indonesia mati,Politik,False
kebersamaan dalam perbedaan solid mendukung ganjar pranowo dan mahfud md sebagai pilihan terbaik di pilpres 2024,Politik,False
jadi inget video ini sudah ada yg pernah liat blm perhatikan tangan pak anies mungkin buat sebagian orang mah biasa aja ya tapi hal2 kecil begini yg bikin,Politik,False
anies baswedan dan mas bowo punya wawasan tapi capres ganjar pranowo punya prestasi nyata yang bisa dilihat pilih pemimpin berdasarkan hasil kerjajn19x6,Politik,False
pemikiran terkait program makan siang gratis dan subsidi susu sebagai upaya politik prabowo dinilai berpotensi merugikan keuangan negara dan mengorbankan sektor pendidikan serta bantuan sosial,Politik,False
anies janji buat regulasi hapus diskriminasi usia dalam syarat lowongan kerja,Politik,False
dukungan rakyat terus mengalir untuk prabowo gibran siapa yang bisa lawan rakyatsenang 02menang,Politik,False
anies kreatif bawa isu penting ke panggung pilpres,Politik,False
saat prabowo subianto menanyakan tentang kenaikan air saat hujan adi membenarkan bahwa situasi memang demikian dan menekankan kesulitan mendapatkan air bersih sebagai masalah utama,Sumber Daya Alam,False
legislasi yang diinisiasi oleh ganjar pranowo mahfud md bertujuan untuk menciptakan keadilan gender yang lebih baik di tempat kerja dan meningkatkan kesejahteraan ekonomi perempuan,Ekonomi,False
capres cawapres ganjar pranowo dan mahfud md berpesan agar kita semua terus menjaga konstitusi atau aturan dasar negara sebagai landasan bangsa,Ideologi,False
para pendukung terlihat mengerumuni anies rupanya pendukung ingin memberikan hadiah berupa cenderamata kepada mantan gubernur dki jakarta itu,Politik,False
jadilah pemilih yang rasional kita bandingkan rekam jejaknya rekam karyanya pesan bapak di acara desak anies yogyakarta,Politik,False
pada 2024 kita semua menyaksikan perubahan kepemimpinan yang penuh harapan dengan ganjar pranowo mengemban tugas yang sebelumnya dijalankan oleh jokowi,Politik,False
bersama jnk kita punya kekuatan untuk membawa perubahan positif dengan mendukung ganjar pranowo mahfud md di pilpres mendatang,Politik,False
video dibawah diambil tahun 2017 2019 dan 2022 bukti rembug ganjar sudah dilakukan sejak lama dan rutin dilakukan bukti ganjar selalu melibatkan masyarakat untuk mencari solusi atas persoalan yang mereka hadapi hapus kredit macet dengan melibatkan masyarakat sebagai subjek pembangunan dalam maka kebijakan yang akan diambil akan sesuai dengan persoalan yang dihadapi rakyat kecil tidak seperti makan siang gratis program yg keluar dari para elit bkn dari rakyat kecil solusi pemutihan kredit macet atau menghapuskan utang nelayan atau petani merupakan hasil dari karena bagaimanapun kebijakan itu akan menimbulkan efek bagi rakyat sehingga dengan rakyat menjadi subjek bukan objek dalam pembangunan dan menjalankan kebijakan,Sosial Budaya,False
saya speechless amp bener2 merinding dengan fenomena pendukung2 anies yg militan ada yg bikin spanduk dari karung dipasang di jembatan lenteng agung ada yg bikin fandom di x macam anies bubble beneran keren sumpah semoga arus perubahan dari bawah ini berhasil gemilang,Sosial Budaya,False
parah kamu mba ada buktinya tidak ganjar n anies ngolok2 kekuatan militer indonesia jangan mentang2 skrg demokrat mendukung digarisan penguasa ya,Politik,False
tidak banyak yang tahu ini platform bikinan anies awal 2023 namanya bawa ide 5000 pemuda mendaftar amp 100 yg terpilih utk mempresentasikan gagasannya sesuai background masing2 anak2 muda diajak ikut tampil bukan cuma diam amp membebek saja,Ideologi,False
cerita pasangan pak mahfud md dan pak ganjar pranowo buat kita percaya semangat dwi tunggal masih ada bersama mereka kita bisa wujudkan impian besar,Politik,False
vidio bagian ke 5catatan ini buat pendukung wowo kalau pak anies tidak pernah meminta jadi gurbernur,Ekonomi,False
tolol yang bilang anies baswedan serang personal prabowo itu orang berarti tidak paham definisi dari serang personal serang personal itu serang fisik dia anak dia intinya yg menyangkut personal yang anies serang itu kinerja prabowo menjadi menhan selama 4 tahun ini,Politik,False
bersamasama kita dukung prabowo dalam mewujudkan perubahan yang diinginkan oleh warga jabar berbuatbaik untukmasyarakat,Politik,False
yakin milih ganjar pranowo dengan capres no 3 wujudkan masa depan indonesia yang lebih baik ganjar mahfud hebat resolusi indonesia,Politik,False
3 orang penembak relawan prabowo dibekuk polda jatim satu di antaranya kepala desa,Pertahanan dan Keamanan,False
menhan prabowo subianto sanjung kepemimpinan bupati arief rohman saat lakukan kunjungan kerja di blora ini katanya radar kudus radar kudus,Politik,False
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup membagikan informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan 02 berkuasa asal bukan prabowo,Pertahanan dan Keamanan,False
gibran klaim food estate singkong prabowo panen greenpeace 3 kali ke lokasi tidak ada,Politik,False
pernyataan prabowo usai debat capres saya kecewa dengan narasi paslon lain ____ capres nomor urut 2 prabowo subianto mengaku kecewa dengan narasi pasangan calon presiden nomor urut 1 anies baswedan dan capres nomor urut 3 ganjar pranowo saat debat capres pada minggu 712024 saya agak sedikit kecewa dengan kualitas terutama narasi yang disampaikan oleh paslonpaslon yang lain menurut saya mereka datanya banyak yang salah keliru kedua data pertahanan ini mau dipakai mencari poin politik yang menurut saya untuk negarawan tidak boleh ujar prabowo simak selengkapnya video berikut ini dan temukan juga berbagai informasi terbaru lainnya hanya di atau kanal youtube kompastv,Politik,False
anies berjanji akan membangun jalan produksi untuk menghubungkan sentra produksi pertanian dengan pasar di jawa barat,Sumber Daya Alam,False
berperan mendamaikan rusia ukraina masih ingat kunjungan presiden ke kiev dan moskow tiga bulan pasca perang pecah lagaknya mau damaikan dua kubu seteru yg ada malah dugaan manfaatkan agenda negara demi kepentingan pribadi pasca lobi2 itu hashim adiknya prabowo dapat tender pengiriman gandum dan jagung dari ukraina,Politik,False
demokrasi ala ganjar smg aspirasi rakyat bisa di jalankan,Politik,False
temenku yang pendukung prabowo bilang wajar kalau prabowo kena kasus ham kan dia dari militer berarti dg analogi spt itu diwajarkan dong militer melakukan pelanggaran ham terhadap rakyat sipil,Politik,False
anies sebut kesetaraan pendidikan menjadi salah satu yang diperjuangkan,Ideologi,False
wowkampanye akbar capres pasangan no 1 anies baswedan di gor parung bogor indonesia people deserve better,Politik,False
pupuk bersubsidi langka tim prabowo gibran buat posko penyaluran pupuk bersubsidi untuk petani solar bersubsidi langka tim prabowo gibran buat posko penyaluran solar bersubsidi bagi nelayan beras mahal tim prabowo gibran berikan bansos beras terus negara ngapain,Ekonomi,False
calon wakil presiden nomor urut 3 mahfud md menyatakan bahwa laju deforestasi atau penggundulan hutan indonesia saat ini merupakan yang tertinggi di dunia prabowo subianto,Sumber Daya Alam,False
ini buat melawan framing anies jualan politik identitas,Politik,False
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup membagikan informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan 02 berkuasa asal bukan prabowo,Pertahanan dan Keamanan,False
menjadikan bapak anies sebagai pemimpin di republik ini adalah citacita kita semua love you bapak,Politik,False
orang papua berharap pak anies jadi presiden,Sosial Budaya,False
ini fakta yang aku alami di lapangan aku selalu bertanya pada kenalankenalan yang aku temuiteman lama teman kampus bahkan beberapa orang laintentang pilihan capres mereka 90 dari mereka mendukung prabowo saat kutanya alasannya jawaban mereka seputar gimmickgimmick yang dilakukan oleh tim 02 tanpa memahami gagasan visimisi capresnya aku tidak akan mejudge mereka karena bagiku itu sahsah saja hak warga negara buat memilih dengan alasan apapun sepertinya indonesia butuh waktu untuk dipimpin oleh orangorang yang punya gagasan hebat gagasan detail dan gagasan yang bertumbuh seiring perkembangan zaman kita memang butuh waktu yang panjang untuk mengangkat pemimpin yang cerdas dan punya wawasan yang luas its okay umur indonesia masih panjang dan negeri ini masih terlalu muda untuk mengerti apa itu meritokrasi,Politik,False
anies baswedan sudah lama sblm aktif di politik malahan sudah melakukan blusukan ke seluruh pelosok wilayah utk memajukan dunia pendidikan di negeri tercinta ini d,Politik,False
sejak 2010 kami sudah bekerja di papua barat mengirimkan guruguru ke pelosokpelosok papua yang orang lain belum mau datang karena tidak ada sinyal dan listrik kata capres 01 anies baswedan,Politik,False
kapitalisme neoliberal tak cocok untuk indonesia kata prabowo antara kalimantan tengah,Ideologi,False
saya yakin pak ganjar sudah punya informasi soal mamat gunshop kenapa tidak dibuka di publik karena mamat gunshop terlalu riskan untuk menjadi pengetahuan masyarakat global mengenai sistem pertahanan kita saya rasa sih seperti itu pak ganjar malam ini andalan,Pertahanan dan Keamanan,False
dan dirinya pun memberi dukungan kepada prabowo subianto agar ia menjadi pemimpin yang memprioritaskan kepentingan rakyat kecil prabowo subianto,Politik,False
kiki_daliyo ganjar pranowo sikap tegas yang dilakukan disitulah sebagai bentuk cinta bangsa indonesia hebat lulus pasti kerja,Ideologi,False
capres nomor urut 3 ganjar pranowo menanggapi politikus pdip rieke diah pitaloka yang ganjar mahfud hebat,Politik,False
hadiri konser indonesia maju di tulungagung tomi gandhi prabowo gibran optimis menang satu putaran,Politik,False
anies saking programnya oke semua orangorang jadi fear mongering dan black campaign ke beliau dengan isu masa lalu yg mana beliau sendiri tidak terlibat didalamnya dan validitas ceritanya pun belum bisa dibuktikan krn pengarangnya anon stop that you guys are nasty,Politik,False
tak banyak yang sadar anies peragakan gerakan dalam attack on titan saat tutup debat pilpres ketiga setelah itulah momen anies memeragakan gerakan dalam anime attack on titan ia mengepalkan tangan kanannya dan menyilangkannya ke dada sedangkan tangan kirinya mengambil gerakan ke belakang seperti gerakan istirahat di tempat biasanya gerakan itu dilakukan para pasukan pembebesan dalam anime attack on titan saat hendak berperang melawan musuh dalam bahasa jepang gerakan itu selalu disertai teriakan shinzou wo sasageyo yang berarti mengabdikan hatimu secara harfiah dalam konteks attack on titan itu berarti seluruh pasukan siap mati demi kebebasan,Sosial Budaya,False
sekali lagi prabowo ngomong hilirisasi di debat 1 helai rabut ganjar jadi hitam,Politik,False
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup membagikan informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan 02 berkuasa asal bukan prabowo,Pertahanan dan Keamanan,False
fakta baru tidak ada komunikasi atau peringatan apapun usut tuntas rakyat ingin tahu netralitas tni apakah benar ada kawal ganjar mahfud menuju kemenangan 44 hari menuju kemenangan,Politik,False
masyaallah semoga diberi kelancaran kesehatan dan istiqomah dalam perjuangan pilpres saat ini aamiin ya rabb paslon yang paling sangat serius menghadapi pilpres dgn adu gagasan dan belanja issue ke grassro,Politik,False
ini medan bung anak medan merantau ke jakarta pulang ke rumah dipanggil orang tua kita tak perlu banyak kata prabowo gibran akan kerja nyata,Politik,False
siapa itu yg blg gaza lemah oh iya si prabowo di balik normalisasi dengan israel,Politik,False
namun semalam ganjar mengambil keuntungan cukup besar dari tingginya tensi antara 2 capres lainnya semoga rakyat tetap cerdas dalam memahami makna debat mereka berdua anies serang prabowo sebagai lembaga negara bukan sebagai pribadi sedang prabowo sangat tendensius amp personal,Politik,False
bulan januari ini serangan dari kubu dkk akan semakin sengit termasuk doxxing akun akun sosmed kita berharap cepu di grup login tertutup membagikan informasi kepada kita agar kita bisa counter serangan mereka jangan biarkan 02 berkuasa asal bukan prabowo,Pertahanan dan Keamanan,False
